time,action,confidence,net_pips,cumulative_net_pips
2026-06-11 20:33:00+00:00,Sell,0.718646813944629,-12.699999999999,-104.20000000000434
2026-06-11 20:34:00+00:00,Sell,0.818156223247527,-1.29999999999989,-105.50000000000422
2026-06-11 20:35:00+00:00,Sell,0.6927101806449184,-4.1000000000000005,-109.60000000000421
2026-06-11 20:36:00+00:00,Sell,0.723807993704117,-2.3000000000019996,-111.90000000000622
2026-06-11 20:38:00+00:00,Sell,0.6628832401370999,-2.899999999999,-114.80000000000521
2026-06-11 20:50:00+00:00,Buy,0.6727131915480833,4.899999999999,-109.90000000000622
2026-06-12 16:40:00+00:00,Buy,0.7545201323885092,1.1,-108.80000000000622
2026-06-17 17:47:00+00:00,Buy,0.691217062405166,6.799999999999,-102.00000000000722
2026-06-17 21:00:00+00:00,Buy,0.9914730403875863,0.4000000000001449,-101.60000000000707
2026-06-17 21:01:00+00:00,Buy,0.8232767447803083,-14.0,-115.60000000000707
2026-06-17 21:02:00+00:00,Buy,0.9003818012379508,-8.8,-124.40000000000707
2026-06-17 21:03:00+00:00,Buy,0.844588571208382,-16.399999999998002,-140.80000000000507
2026-06-17 21:04:00+00:00,Buy,0.9002736392016374,-8.8,-149.60000000000508
2026-06-17 21:05:00+00:00,Buy,0.8560713510606756,-5.8,-155.4000000000051
2026-06-17 21:06:00+00:00,Buy,0.8137987486867955,-6.0999999999979995,-161.5000000000031
2026-06-17 21:07:00+00:00,Buy,0.8247701805195228,-2.6999999999999997,-164.2000000000031
2026-06-17 21:08:00+00:00,Buy,0.8475682362264048,-1.7,-165.90000000000308
2026-06-17 21:09:00+00:00,Buy,0.8029259831019739,-1.1999999999992348,-167.1000000000023
2026-06-17 21:10:00+00:00,Buy,0.7935436170014749,3.999999999999001,-163.1000000000033
2026-06-17 21:11:00+00:00,Buy,0.7523297771708055,1.099999999998,-162.0000000000053
2026-06-17 21:12:00+00:00,Buy,0.7281073966805258,1.1999999999999995,-160.8000000000053
2026-06-17 21:13:00+00:00,Buy,0.7470646578186874,5.899999999998,-154.9000000000073
2026-06-17 21:14:00+00:00,Buy,0.7146042817339321,6.299999999998,-148.60000000000932
2026-06-17 21:15:00+00:00,Buy,0.7102050825270874,3.8,-144.8000000000093
2026-06-17 21:16:00+00:00,Buy,0.7127648068838592,7.6,-137.2000000000093
2026-06-17 21:17:00+00:00,Buy,0.68678328023157,3.399999999999,-133.8000000000103
2026-06-17 21:32:00+00:00,Buy,0.6572324999618171,-5.899999999998,-139.7000000000083
2026-06-17 21:33:00+00:00,Buy,0.7140532831456137,11.400000000001,-128.3000000000073
2026-06-17 21:34:00+00:00,Buy,0.6798824582340212,16.200000000000998,-112.10000000000629
2026-06-17 22:02:00+00:00,Buy,0.740640552078002,-10.500000000000002,-122.60000000000629
2026-06-17 22:04:00+00:00,Buy,0.730896582606114,-5.499999999999999,-128.10000000000628
